	molregno	assay_chembl_id	description	assay_organism	assay_tissue	assay_cell_type	standard_relation	published_value	published_units	standard_value	standard_units	standard_type	activity_comment	published_type	data_validity_comment	published_relation	pchembl_value	standard_inchi	canonical_smiles
339	385311	CHEMBL888509	Inhibition of human ERG potassium channel	Homo sapiens			=	100	uM	100000	nM	IC50		IC50		=	4.00	InChI=1S/C16H15F3N6.C2HF3O2/c17-11-6-13(19)12(18)5-10(11)9-1-3-24(7-14(9)20)15-2-4-25-8-21-23-16(25)22-15;3-2(4,5)1(6)7/h2,4-6,8-9,14H,1,3,7,20H2;(H,6,7)/t9-,14+;/m1./s1	N[C@H]1CN(CC[C@@H]1c2cc(F)c(F)cc2F)c3ccn4cnnc4n3.OC(=O)C(F)(F)F
4413	1519381	CHEMBL2330743	Inhibition of human ERG K+ channel expressed in HEK293 cells after 15 mins by patch clamp assay	Homo sapiens		HEK293	=	962	nM	962	nM	IC50		IC50		=	6.02	InChI=1S/C26H32NO2/c1-21-11-15-25(16-12-21)28-19-5-9-23-7-4-8-24(27(23)3)10-6-20-29-26-17-13-22(2)14-18-26/h4,7-8,11-18H,5-6,9-10,19-20H2,1-3H3/q+1	Cc1ccc(OCCCc2cccc(CCCOc3ccc(C)cc3)[n+]2C)cc1
1093	453213	CHEMBL962309	Displacement of [3H]dofetilide from human ERG channel	Homo sapiens			=	3030	nM	3030	nM	IC50		IC50		=	5.52	InChI=1S/C16H14Cl2F3NO/c1-9(22-2)12-7-10(16(19,20)21)3-6-15(12)23-11-4-5-13(17)14(18)8-11/h3-9,22H,1-2H3	CNC(C)c1cc(ccc1Oc2ccc(Cl)c(Cl)c2)C(F)(F)F
1421	561051	CHEMBL1061741	Inhibition of human ERG expressed in CHO cells by patch-clamp assay	Homo sapiens		CHO	>	31.6	uM	31600	nM	IC50		IC50		>		InChI=1S/C24H24F4N4O3S/c25-19-3-7-22(8-4-19)36(34,35)30-23(33)29-20-10-12-31(13-11-20)15-17-9-14-32(16-17)21-5-1-18(2-6-21)24(26,27)28/h1-9,14,16,20H,10-13,15H2,(H2,29,30,33)	Fc1ccc(cc1)S(=O)(=O)NC(=O)NC2CCN(Cc3ccn(c3)c4ccc(cc4)C(F)(F)F)CC2
275	363800	CHEMBL855968	Inhibition of hERG potassium channel	Homo sapiens			>	100	uM	100000	nM	IC50		IC50		>		InChI=1S/C17H21ClN4O4S/c1-10(14(19)17(23)22-7-3-4-8-22)16-20-15(21-26-16)12-6-5-11(9-13(12)18)27(2,24)25/h5-6,9-10,14H,3-4,7-8,19H2,1-2H3/t10-,14-/m0/s1	C[C@@H]([C@H](N)C(=O)N1CCCC1)c2onc(n2)c3ccc(cc3Cl)S(=O)(=O)C
1007	518834	CHEMBL1034067	Displacement of [3H]dofetilide from human ERG expressed in HEK293 cells	Homo sapiens		HEK293						IC50	Not Determined	IC50				InChI=1S/C23H32N4O2/c1-16(27-13-11-20(12-14-27)23-24-17(2)26-29-23)15-21(18-7-4-3-5-8-18)25-22(28)19-9-6-10-19/h3-5,7-8,16,19-21H,6,9-15H2,1-2H3,(H,25,28)/t16?,21-/m0/s1	CC(C[C@H](NC(=O)C1CCC1)c2ccccc2)N3CCC(CC3)c4onc(C)n4
6673	2062431	CHEMBL3762972	Inhibition of human ERG channel by fluorescence polarization assay	Homo sapiens			>	10	uM	10000	nM	IC50		IC50		>		InChI=1S/C22H33ClN4O4/c1-30-19-13-17(24)16(23)12-15(19)22(29)25-18-6-10-26(14-20(18)31-2)11-7-21(28)27-8-4-3-5-9-27/h12-13,18,20H,3-11,14,24H2,1-2H3,(H,25,29)/t18-,20+/m0/s1	CO[C@@H]1CN(CCC(=O)N2CCCCC2)CC[C@@H]1NC(=O)c3cc(Cl)c(N)cc3OC
300	375257	CHEMBL914755	Displacement of [3H]dofetilide from hERG expressed in HEK293 cells	Homo sapiens		HEK293	>	10	uM	10000	nM	IC50		IC50		>		InChI=1S/C23H16N2OS/c1-2-8-18(9-3-1)26-12-6-10-19-13-17(15-27-19)22-21-14-16-7-4-5-11-20(16)23(21)25-24-22/h1-5,7-9,11,13,15H,12,14H2,(H,24,25)	C(Oc1ccccc1)C#Cc2cc(cs2)c3n[nH]c4c3Cc5ccccc45
1856	355160	CHEMBL1120514	Displacement of [3H]dofetilide from human ERG	Homo sapiens			=	5840	nM	5840	nM	IC50		IC50		=	5.23	InChI=1S/C21H28N2O/c1-2-16-24-21-11-7-6-10-19(21)17-20(18-8-4-3-5-9-18)23-14-12-22-13-15-23/h3-11,20,22H,2,12-17H2,1H3	CCCOc1ccccc1CC(N2CCNCC2)c3ccccc3
1930	686255	CHEMBL1217643	Inhibition of human hERG	Homo sapiens			=	5.9	uM	5900	nM	IC50		IC50		=	5.23	InChI=1S/C20H11F6N7O/c21-19(22,23)10-1-2-14(29-7-10)32-12-3-4-28-18-16(12)31-8-13(33-18)15-11(20(24,25)26)5-9(6-30-15)17(27)34/h1-8H,(H2,27,34)(H,28,29,32,33)	NC(=O)c1cnc(c2cnc3c(Nc4ccc(cn4)C(F)(F)F)ccnc3n2)c(c1)C(F)(F)F
4376	1520677	CHEMBL2328742	Inhibition of human ERG	Homo sapiens			>	33	uM	33000	nM	IC50		IC50		>		InChI=1S/C12H15N3S/c1-15-4-2-8-6-10-11(16-12(13)14-10)7-9(8)3-5-15/h6-7H,2-5H2,1H3,(H2,13,14)	CN1CCc2cc3nc(N)sc3cc2CC1
2552	1171037	CHEMBL1820233	Binding affinity to human ERG by radioligand displacement assay	Homo sapiens			=	2.15	uM	2150	nM	IC50		IC50		=	5.67	InChI=1S/C22H19N5OS/c1-15-10-26(14-23-15)20-8-7-16(9-21(20)28-2)19-12-27(25-24-19)11-17-13-29-22-6-4-3-5-18(17)22/h3-10,12-14H,11H2,1-2H3	COc1cc(ccc1n2cnc(C)c2)c3cn(Cc4csc5ccccc45)nn3
4905	1587934	CHEMBL2443482	Displacement of [35S]-MK499 from human ERG	Homo sapiens			=	31	uM	31000	nM	IC50		IC50		=	4.51	InChI=1S/C23H23FN6O3/c24-22-17(3-6-19-20(22)14-33-23(19)32)7-8-28-9-11-29(12-10-28)21(31)13-16-1-4-18(5-2-16)30-15-25-26-27-30/h1-6,15H,7-14H2	Fc1c(CCN2CCN(CC2)C(=O)Cc3ccc(cc3)n4cnnn4)ccc5C(=O)OCc15
3146	1278007	CHEMBL1947877	Inhibition of human ERG	Homo sapiens			=	33	uM	33000	nM	IC50		IC50		=	4.48	InChI=1S/C22H27N3O/c1-3-25(4-2)22(26)19-10-8-17(9-11-19)21(18-12-15-23-16-13-18)20-7-5-6-14-24-20/h5-11,14,23H,3-4,12-13,15-16H2,1-2H3	CCN(CC)C(=O)c1ccc(cc1)C(=C2CCNCC2)c3ccccn3
194	361270	CHEMBL909940	Displacement of [3H]dofetilide from hERG	Homo sapiens			=	8.5	nM	8.5	nM	IC50		IC50		=	8.07	InChI=1S/C23H22F2N2O4/c1-30-20-5-2-14(10-18(20)25)13-27-8-6-16(7-9-27)26-23(29)22-12-19(28)17-4-3-15(24)11-21(17)31-22/h2-5,10-12,16H,6-9,13H2,1H3,(H,26,29)	COc1ccc(CN2CCC(CC2)NC(=O)C3=CC(=O)c4ccc(F)cc4O3)cc1F
4873	1586904	CHEMBL2444347	Inhibition of human ERG channel expressed in CHO cells by whole cell patch clamp technique	Homo sapiens		CHO						IC50	Not Determined	IC50				InChI=1S/C26H26N4O3S/c1-18-9-12-22(13-10-18)34(32,33)29-27-15-21-16-30(25-7-5-4-6-23(21)25)17-26(31)28-24-14-19(2)8-11-20(24)3/h4-16,29H,17H2,1-3H3,(H,28,31)/b27-15+	Cc1ccc(cc1)S(=O)(=O)N\N=C\c2cn(CC(=O)Nc3cc(C)ccc3C)c4ccccc24
4251	1448253	CHEMBL2217332	Inhibition of human ERG tail current expressed in HEK293 cells at + 60 mV holding potential by patch clamp assay	Homo sapiens		HEK293	=	9.6	uM	9600	nM	IC50		IC50		=	5.02	InChI=1S/C37H42N2O6/c1-38-15-13-26-20-36(43-4)37(44-5)22-29(26)30(38)16-23-6-9-27(10-7-23)45-35-18-24(8-11-32(35)40)17-31-28-21-33(41)34(42-3)19-25(28)12-14-39(31)2/h6-11,18-22,30-31,40-41H,12-17H2,1-5H3/t30-,31-/m1/s1	COc1cc2CCN(C)[C@H](Cc3ccc(O)c(Oc4ccc(C[C@H]5N(C)CCc6cc(OC)c(OC)cc56)cc4)c3)c2cc1O
359	399200	CHEMBL899624	Displacement of [3H]dofetilide from human HERG expressed in HEK293 cells	Homo sapiens		HEK293	>	10	uM	10000	nM	IC50		IC50		>		InChI=1S/C19H24N2O2S/c1-13-12-20-19(24-13)11-10-18(23)21-16-6-2-14(3-7-16)15-4-8-17(22)9-5-15/h4-5,8-9,12,14,16,22H,2-3,6-7,10-11H2,1H3,(H,21,23)/t14-,16-	Cc1cnc(CCC(=O)N[C@@H]2CC[C@H](CC2)c3ccc(O)cc3)s1
5976	1843303	CHEMBL3428449	Displacement of MK499 from human ERG	Homo sapiens								IC50	Not Determined	IC50				InChI=1S/C26H28FN5O4/c27-17-12-29-18-3-4-20(33)32-14-26(34,21(17)22(18)32)13-25-7-5-24(6-8-25,15-36-25)30-11-16-1-2-19-23(31-16)35-10-9-28-19/h1-4,12,28,30,34H,5-11,13-15H2/t24?,25?,26-/m0/s1	O[C@@]1(CC23CCC(CC2)(CO3)NCc4ccc5NCCOc5n4)CN6C(=O)C=Cc7ncc(F)c1c67
4460	1519921	CHEMBL2330875	Inhibition of human ERG expressed in CHO cells by ionworks assay	Homo sapiens		CHO	=	57793	nM	57793	nM	IC50		IC50		=	4.24	InChI=1S/C22H27ClN6O2/c23-16-5-3-15(4-6-16)18(2-1-13-30)28-21(31)22(24)8-11-29(12-9-22)20-17-7-10-25-19(17)26-14-27-20/h3-7,10,14,18,30H,1-2,8-9,11-13,24H2,(H,28,31)(H,25,26,27)	NC1(CCN(CC1)c2ncnc3[nH]ccc23)C(=O)NC(CCCO)c4ccc(Cl)cc4
