	molregno	assay_chembl_id	description	assay_organism	assay_tissue	assay_cell_type	standard_relation	published_value	published_units	standard_value	standard_units	standard_type	activity_comment	published_type	data_validity_comment	published_relation	pchembl_value	standard_inchi	canonical_smiles
5217	1725386	CHEMBL3224838	Inhibition of human ERG expressed in HEK293 cells after 5 mins by patch clamp assay	Homo sapiens			=	1700	nM	1700	nM	IC50		IC50		=	5.77	InChI=1S/C34H31ClN4O2/c1-23(40)36-29-6-4-5-27(21-29)25-17-19-38(20-18-25)22-24-9-11-26(12-10-24)33(41)34-37-31-7-2-3-8-32(31)39(34)30-15-13-28(35)14-16-30/h2-16,21,25H,17-20,22H2,1H3,(H,36,40)	CC(=O)Nc1cccc(c1)C2CCN(Cc3ccc(cc3)C(=O)c4nc5ccccc5n4c6ccc(Cl)cc6)CC2
4802	1579216	CHEMBL2423441	Inhibition of human ERG expressed in cisapride treated CHO cells by Ion Works assay	Homo sapiens		CHO	>	10	uM	10000	nM	IC50		IC50		>		InChI=1S/C32H32N4O4S/c1-34-11-13-35(14-12-34)20-28(38)33-25-10-9-22(32-30(25)24-5-2-3-8-27(24)41-32)21-6-4-7-23-26(37)19-29(40-31(21)23)36-15-17-39-18-16-36/h2-10,19H,11-18,20H2,1H3,(H,33,38)	CN1CCN(CC(=O)Nc2ccc(c3cccc4C(=O)C=C(Oc34)N5CCOCC5)c6sc7ccccc7c26)CC1
5394	1761620	CHEMBL3296306	Inhibition of human ERG by medium-throughput electrophysiology	Homo sapiens								IC50	Not Determined	IC50				InChI=1S/C21H22F2N4O3/c1-11-12(2)30-25-20(11)21(29)27-6-4-13(5-7-27)24-17-10-19(28)26(3)18-9-16(23)15(22)8-14(17)18/h8-10,13,24H,4-7H2,1-3H3	CN1C(=O)C=C(NC2CCN(CC2)C(=O)c3noc(C)c3C)c4cc(F)c(F)cc14
6790	2077827	CHEMBL3790041	Inhibition of human ERG	Homo sapiens			>	33	uM	33000	nM	IC50		IC50		>		InChI=1S/C24H22N2O2/c1-17(19-12-6-3-7-13-19)26-22(20-14-8-9-15-21(20)24(26)28)23(27)25-16-18-10-4-2-5-11-18/h2-15,17,22H,16H2,1H3,(H,25,27)	CC(N1C(C(=O)NCc2ccccc2)c3ccccc3C1=O)c4ccccc4
6398	1963799	CHEMBL3620197	Inhibition of human ERG expressed in CHO cells by patch clamp electrophysiology assay	Homo sapiens			=	6.1	uM	6100	nM	IC50		IC50		=	5.22	InChI=1S/C18H18F3N5S/c19-18(20,21)11-3-1-10(2-4-11)14-9-13-15(27-14)16(25-17(23)24-13)26-7-5-12(22)6-8-26/h1-4,9,12H,5-8,22H2,(H2,23,24,25)	NC1CCN(CC1)c2nc(N)nc3cc(sc23)c4ccc(cc4)C(F)(F)F
4459	1519922	CHEMBL2330875	Inhibition of human ERG expressed in CHO cells by ionworks assay	Homo sapiens		CHO	=	9369	nM	9369	nM	IC50		IC50		=	5.03	InChI=1S/C22H27ClN6O2/c1-31-13-7-18(15-2-4-16(23)5-3-15)28-21(30)22(24)8-11-29(12-9-22)20-17-6-10-25-19(17)26-14-27-20/h2-6,10,14,18H,7-9,11-13,24H2,1H3,(H,28,30)(H,25,26,27)	COCCC(NC(=O)C1(N)CCN(CC1)c2ncnc3[nH]ccc23)c4ccc(Cl)cc4
2111	715485	CHEMBL1291445	Inhibition of human ERG	Homo sapiens			=	17	uM	17000	nM	IC50		IC50		=	4.77	InChI=1S/C28H34F3N3O4/c1-2-38-24-18-34(22-11-13-27(37,14-12-22)20-8-4-3-5-9-20)17-23(24)33-25(35)16-32-26(36)19-7-6-10-21(15-19)28(29,30)31/h3-10,15,22-24,37H,2,11-14,16-18H2,1H3,(H,32,36)(H,33,35)/t22-,23-,24-,27-/m0/s1	CCO[C@H]1CN(C[C@@H]1NC(=O)CNC(=O)c2cccc(c2)C(F)(F)F)[C@@H]3CC[C@@](O)(CC3)c4ccccc4
4131	1441658	CHEMBL2187242	Inhibition of human ERG expressed in CHO cells	Homo sapiens		CHO						IC50	Not Determined	IC50				InChI=1S/C16H28N4O/c1-16(2,3)13-12-14(19-18-13)17-15(21)8-7-11-20-9-5-4-6-10-20/h12H,4-11H2,1-3H3,(H2,17,18,19,21)	CC(C)(C)c1cc(NC(=O)CCCN2CCCCC2)[nH]n1
2241	1139769	CHEMBL1763073	Inhibition of human ERG	Homo sapiens								IC50	Not Active	IC50				InChI=1S/C18H20N2O2.C2H2O4/c1-20-11-10-17(14-6-4-3-5-7-14)22-18-12-16(21-2)9-8-15(18)13-19;3-1(4)2(5)6/h3-9,12,17,20H,10-11H2,1-2H3;(H,3,4)(H,5,6)/t17-;/m1./s1	CNCC[C@@H](Oc1cc(OC)ccc1C#N)c2ccccc2.OC(=O)C(=O)O
296	375247	CHEMBL914755	Displacement of [3H]dofetilide from hERG expressed in HEK293 cells	Homo sapiens		HEK293	=	7.46	uM	7460	nM	IC50		IC50		=	5.13	InChI=1S/C30H29N5OS/c1-34-12-14-35(15-13-34)19-21-9-10-26-23(16-21)18-27-28(32-33-29(26)27)24-17-25(37-20-24)8-5-11-31-30(36)22-6-3-2-4-7-22/h2-4,6-7,9-10,16-17,20H,11-15,18-19H2,1H3,(H,31,36)(H,32,33)	CN1CCN(Cc2ccc3c(Cc4c(n[nH]c34)c5csc(c5)C#CCNC(=O)c6ccccc6)c2)CC1
