	molregno	assay_chembl_id	description	assay_organism	assay_tissue	assay_cell_type	standard_relation	published_value	published_units	standard_value	standard_units	standard_type	activity_comment	published_type	data_validity_comment	published_relation	pchembl_value	standard_inchi	canonical_smiles
5849	1438524	CHEMBL3419125	Inhibition of human ERG expressed in CHO cells by automated Qpatch clamp assay	Homo sapiens			=	8600	nM	8600	nM	IC50		IC50		=	5.07	InChI=1S/C19H23N9O/c20-15-6-1-2-7-16(15)26-19-22-11-14(17(21)29)18(27-19)25-12-4-3-5-13(10-12)28-23-8-9-24-28/h3-5,8-11,15-16H,1-2,6-7,20H2,(H2,21,29)(H2,22,25,26,27)/t15-,16+/m0/s1	N[C@H]1CCCC[C@H]1Nc2ncc(C(=O)N)c(Nc3cccc(c3)n4nccn4)n2
6284	1960385	CHEMBL3610728	Inhibition of dofetilide binding to human ERG	Homo sapiens			=	5.7	uM	5700	nM	IC50		IC50		=	5.24	InChI=1S/C21H30N6O2S2/c1-21(2,3)18-24-14-13(30-18)7-6-12-16(14)31-19(23-12)25-20(29)27-9-8-11(10-26(4)5)15(27)17(22)28/h11,15H,6-10H2,1-5H3,(H2,22,28)(H,23,25,29)/t11-,15-/m0/s1	CN(C)C[C@@H]1CCN([C@@H]1C(=O)N)C(=O)Nc2nc3CCc4sc(nc4c3s2)C(C)(C)C
2289	1142673	CHEMBL1772827	Binding affinity to human ERG	Homo sapiens			>	22300	nM	22300	nM	IC50		IC50		>		InChI=1S/C15H17N3/c1-2-4-12(5-3-1)10-15-17-11-13-6-8-16-9-7-14(13)18-15/h1-5,11,16H,6-10H2	C(c1ccccc1)c2ncc3CCNCCc3n2
1227	562283	CHEMBL1063190	Inhibition of human ERG expressed in CHO cells by patch clamp assay	Homo sapiens		CHO	=	2.4	uM	2400	nM	IC50		IC50		=	5.62	InChI=1S/C25H29F3N4O/c1-30-11-2-3-23(30)16-29-24(33)15-19-8-12-31(13-9-19)17-20-10-14-32(18-20)22-6-4-21(5-7-22)25(26,27)28/h2-7,10-11,14,18-19H,8-9,12-13,15-17H2,1H3,(H,29,33)	Cn1cccc1CNC(=O)CC2CCN(Cc3ccn(c3)c4ccc(cc4)C(F)(F)F)CC2
3926	1428502	CHEMBL2166761	Inhibition of human ERG by Ionworks assay	Homo sapiens			=	122	uM	122000	nM	IC50		IC50	Outside typical range	=		InChI=1S/C25H26FN5O3/c26-20-16-30(7-8-31-22-11-17(13-27)1-2-18(22)3-4-25(31)32)6-5-21(20)29-14-19-12-23-24(15-28-19)34-10-9-33-23/h1-4,11-12,15,20-21,29H,5-10,14,16H2/t20-,21-/m0/s1	F[C@H]1CN(CCN2C(=O)C=Cc3ccc(cc23)C#N)CC[C@@H]1NCc4cc5OCCOc5cn4
6200	1957841	CHEMBL3607786	Inhibition of MK499 binding to human ERG	Homo sapiens			=	1.8	uM	1800	nM	IC50		IC50		=	5.75	InChI=1S/C27H30FN5O4/c1-16-25(34)33-24-21(37-16)5-3-17(31-24)13-30-26-9-11-27(12-10-26,36-15-26)8-7-18-19(28)14-29-20-4-6-22(35-2)32-23(18)20/h3-6,14,16,30H,7-13,15H2,1-2H3,(H,31,33,34)	COc1ccc2ncc(F)c(CCC34CCC(CC3)(CO4)NCc5ccc6OC(C)C(=O)Nc6n5)c2n1
6067	1948382	CHEMBL3583383	Inhibition of MK499 binding to human ERG	Homo sapiens			=	8.54	uM	8540	nM	IC50		IC50		=	5.07	InChI=1S/C26H22FN9O/c1-14-31-25(35-37-14)26(15-10-30-36(2)13-15)23-18(17-5-3-4-6-19(17)32-23)9-21(34-26)24-29-12-22(33-24)20-8-7-16(27)11-28-20/h3-8,10-13,21,32,34H,9H2,1-2H3,(H,29,33)/t21-,26-/m1/s1	Cc1onc(n1)[C@@]2(N[C@H](Cc3c2[nH]c4ccccc34)c5nc(c[nH]5)c6ccc(F)cn6)c7cnn(C)c7
2875	1177407	CHEMBL1831776	Inhibition of human ERG	Homo sapiens			=	17	uM	17000	nM	IC50		IC50		=	4.77	InChI=1S/C13H11N5S/c1-2-6-14-11(3-1)16-13-17-12-8-7-15-18-9(8)4-5-10(12)19-13/h1-3,6-7H,4-5H2,(H,15,18)(H,14,16,17)	C1Cc2sc(Nc3ccccn3)nc2c4c[nH]nc14
4685	1567042	CHEMBL2393913	Inhibition of human ERG	Homo sapiens			>	10	uM	10000	nM	IC50		IC50		>		InChI=1S/C14H13NO4S/c1-2-17-14(16)12-9(6-20-13(12)15)8-3-4-10-11(5-8)19-7-18-10/h3-6H,2,7,15H2,1H3	CCOC(=O)c1c(N)scc1c2ccc3OCOc3c2
5547	1759987	CHEMBL3380409	Inhibition of human ERG channel	Homo sapiens			=	1.9	uM	1900	nM	IC50		IC50		=	5.72	InChI=1S/C21H32N4O4S/c1-3-29-20(26)24-11-6-17(7-12-24)15-23-13-8-21(9-14-23)16-25(30(2,27)28)19-18(21)5-4-10-22-19/h4-5,10,17H,3,6-9,11-16H2,1-2H3	CCOC(=O)N1CCC(CN2CCC3(CC2)CN(c4ncccc34)S(=O)(=O)C)CC1
185	361269	CHEMBL909940	Displacement of [3H]dofetilide from hERG	Homo sapiens			=	6.7	nM	6.7	nM	IC50		IC50		=	8.17	InChI=1S/C23H22N2O5/c26-18-12-22(30-19-4-2-1-3-17(18)19)23(27)24-16-7-9-25(10-8-16)13-15-5-6-20-21(11-15)29-14-28-20/h1-6,11-12,16H,7-10,13-14H2,(H,24,27)	O=C(NC1CCN(Cc2ccc3OCOc3c2)CC1)C4=CC(=O)c5ccccc5O4
4414	1519376	CHEMBL2330743	Inhibition of human ERG K+ channel expressed in HEK293 cells after 15 mins by patch clamp assay	Homo sapiens		HEK293	=	214	nM	214	nM	IC50		IC50		=	6.67	InChI=1S/C28H28NO2/c1-23-11-15-25(16-12-23)7-5-19-30-21-27-9-4-10-28(29(27)3)22-31-20-6-8-26-17-13-24(2)14-18-26/h4,9-18H,19-22H2,1-3H3/q+1	Cc1ccc(cc1)C#CCOCc2cccc(COCC#Cc3ccc(C)cc3)[n+]2C
3785	1420348	CHEMBL2148626	Displacement of [35S]MK499 from human ERG	Homo sapiens			=	0.047	uM	47	nM	IC50		IC50		=	7.33	InChI=1S/C23H26N4O3/c28-27(29)22-7-3-20(4-8-22)10-13-26-16-14-25(15-17-26)12-9-19-1-5-21(6-2-19)23-24-11-18-30-23/h1-8,11,18H,9-10,12-17H2	[O-][N+](=O)c1ccc(CCN2CCN(CCc3ccc(cc3)c4occn4)CC2)cc1
3880	1424825	CHEMBL2160981	Displacement of [3H]astemizole from human ERG potassium channel	Homo sapiens			>	10	uM	10000	nM	IC50		IC50		>		InChI=1S/C25H29N5O4S/c1-35(33,34)16-23(31)30-11-9-17(10-12-30)19-7-8-22(21(13-19)18-5-3-2-4-6-18)29-25(32)24-27-15-20(14-26)28-24/h5,7-8,13,15,17H,2-4,6,9-12,16H2,1H3,(H,27,28)(H,29,32)	CS(=O)(=O)CC(=O)N1CCC(CC1)c2ccc(NC(=O)c3nc(c[nH]3)C#N)c(c2)C4=CCCCC4
1313	564274	CHEMBL1062483	Displacement of [3H]dofetilide from human ERG	Homo sapiens			>	20000	nM	20000	nM	IC50		IC50		>		InChI=1S/C17H21F3N2O/c18-17(19,20)15-7-2-1-6-14(15)16(23)22(11-12-4-3-5-12)13-8-9-21-10-13/h1-2,6-7,12-13,21H,3-5,8-11H2/t13-/m0/s1	FC(F)(F)c1ccccc1C(=O)N(CC2CCC2)[C@H]3CCNC3
1924	1705918	CHEMBL1217370	Displacement of [3H] astemizole from human recombinant ERG channel expressed in HEK293 cells	Homo sapiens		HEK293	=	0.9	uM	900	nM	IC50		IC50		=	6.05	InChI=1S/C24H27Cl2N5O.4ClH/c1-17-18(16-21(29-17)20-7-2-3-9-27-20)24(32)28-10-5-11-30-12-14-31(15-13-30)22-8-4-6-19(25)23(22)26;;;;/h2-4,6-9,16,29H,5,10-15H2,1H3,(H,28,32);4*1H	Cl.Cl.Cl.Cl.Cc1[nH]c(cc1C(=O)NCCCN2CCN(CC2)c3cccc(Cl)c3Cl)c4ccccn4
4425	1518410	CHEMBL2330781	Displacement of [3H]astemizole from human ERG K+ channel expressed in HEK293 cells by scintillation spectrophotometric analysis	Homo sapiens		HEK293	=	158	nM	158	nM	IC50		IC50		=	6.80	InChI=1S/C26H32NO4/c1-27-21(9-5-19-30-25-15-11-23(28-2)12-16-25)7-4-8-22(27)10-6-20-31-26-17-13-24(29-3)14-18-26/h4,7-8,11-18H,5-6,9-10,19-20H2,1-3H3/q+1	COc1ccc(OCCCc2cccc(CCCOc3ccc(OC)cc3)[n+]2C)cc1
6993	2092937	CHEMBL3825087	Inhibition of human ERG expressed in CHOK1 cells after 6 mins by electrophysiology assay	Homo sapiens			=	21	uM	21000	nM	IC50		IC50		=	4.68	InChI=1S/C22H23ClN8O/c1-14-18(12-26-31(14)16-6-9-29(10-7-16)15(2)32)27-22-25-11-17(23)21(28-22)19-13-24-20-5-3-4-8-30(19)20/h3-5,8,11-13,16H,6-7,9-10H2,1-2H3,(H,25,27,28)	CC(=O)N1CCC(CC1)n2ncc(Nc3ncc(Cl)c(n3)c4cnc5ccccn45)c2C
2397	1149032	CHEMBL1786160	Displacement of labeled dofetilide from human ERG	Homo sapiens			=	1.3	uM	1300	nM	IC50		IC50		=	5.89	InChI=1S/C27H39F3N4O2/c1-18(2)26(8-6-22(15-26)32-24-19-4-3-5-20(24)17-36-16-19)25(35)34-12-10-33(11-13-34)23-14-21(7-9-31-23)27(28,29)30/h7,9,14,18-20,22,24,32H,3-6,8,10-13,15-17H2,1-2H3/t19?,20?,22-,24?,26+/m1/s1	CC(C)[C@@]1(CC[C@H](C1)NC2C3CCCC2COC3)C(=O)N4CCN(CC4)c5cc(ccn5)C(F)(F)F
4607	1529827	CHEMBL2350555	Inhibition of human ERG channel	Homo sapiens			>	30	uM	30000	nM	IC50		IC50		>		InChI=1S/C24H31N7O2/c1-15-7-8-16-19(11-15)31(10-6-9-30(4)5)29-20(16)18-13-26-22-21(27-18)17(12-25-22)23(33)28-24(2,3)14-32/h7-8,11-13,32H,6,9-10,14H2,1-5H3,(H,25,26)(H,28,33)	CN(C)CCCn1nc(c2cnc3[nH]cc(C(=O)NC(C)(C)CO)c3n2)c4ccc(C)cc14
354	399208	CHEMBL899624	Displacement of [3H]dofetilide from human HERG expressed in HEK293 cells	Homo sapiens		HEK293	>	30	uM	30000	nM	IC50		IC50		>		InChI=1S/C22H27NO2/c1-16-15-20(24)12-13-21(16)18-8-10-19(11-9-18)23-22(25)14-7-17-5-3-2-4-6-17/h2-6,12-13,15,18-19,24H,7-11,14H2,1H3,(H,23,25)/t18-,19-	Cc1cc(O)ccc1[C@@H]2CC[C@H](CC2)NC(=O)CCc3ccccc3
3071	1271994	CHEMBL1936097	Inhibition of human ERG by patch-clamp assay	Homo sapiens			=	3.1	uM	3100	nM	IC50		IC50		=	5.51	InChI=1S/C25H33NO3S/c1-20-3-2-15-26(20)16-12-21-4-6-23(7-5-21)24-8-10-25(11-9-24)30(27,28)19-22-13-17-29-18-14-22/h4-11,20,22H,2-3,12-19H2,1H3/t20-/m1/s1	C[C@@H]1CCCN1CCc2ccc(cc2)c3ccc(cc3)S(=O)(=O)CC4CCOCC4
212	362133	CHEMBL908975	Binding affinity to hERG potassium channel	Homo sapiens			=	15000	nM	15000	nM	IC50		IC50		=	4.82	InChI=1S/C20H19N3O3/c1-26-15-7-8-16-17(9-15)19(13-5-3-2-4-6-13)18(10-21)23-20(16)22-11-14(25)12-24/h2-9,14,24-25H,11-12H2,1H3,(H,22,23)/t14-/m0/s1	COc1ccc2c(NC[C@H](O)CO)nc(C#N)c(c3ccccc3)c2c1
2640	453089	CHEMBL1827362	Displacement of [3H]dofetilide from human recombinant ERG by Competitive binding assay	Homo sapiens			=	10000	nM	10000	nM	IC50		IC50		=	5.00	InChI=1S/C25H29N3O3/c1-27-24(26-21-7-4-8-22(30-2)23(21)25(27)29)17-9-11-19(12-10-17)31-20-13-15-28(16-14-20)18-5-3-6-18/h4,7-12,18,20H,3,5-6,13-16H2,1-2H3	COc1cccc2N=C(N(C)C(=O)c12)c3ccc(OC4CCN(CC4)C5CCC5)cc3
3357	1335310	CHEMBL2021104	Inhibition of human ERG	Homo sapiens			=	21.9	uM	21900	nM	IC50		IC50		=	4.66	InChI=1S/C21H23F3N6O2/c1-14-10-29(13-25-14)17-7-6-15(9-19(17)32-2)16-11-30(27-26-16)18-5-3-4-8-28(20(18)31)12-21(22,23)24/h6-7,9-11,13,18H,3-5,8,12H2,1-2H3/t18-/m0/s1	COc1cc(ccc1n2cnc(C)c2)c3cn(nn3)[C@H]4CCCCN(CC(F)(F)F)C4=O
1672	621385	CHEMBL1108768	Displacement of [3H]astemizole from human ERG	Homo sapiens			=	10	uM	10000	nM	IC50		IC50		=	5.00	InChI=1S/C28H31F5N4O3/c29-21-4-5-24(30)23(15-21)27(40)37-12-7-18(8-13-37)6-10-36-11-9-22(17-36)35-25(38)16-34-26(39)19-2-1-3-20(14-19)28(31,32)33/h1-5,14-15,18,22H,6-13,16-17H2,(H,34,39)(H,35,38)/t22-/m1/s1	Fc1ccc(F)c(c1)C(=O)N2CCC(CCN3CC[C@H](C3)NC(=O)CNC(=O)c4cccc(c4)C(F)(F)F)CC2
3999	1427816	CHEMBL2168489	Binding affinity to human ERG expressed in CHOK1 cells by IonWorks HT assay	Homo sapiens		CHO-K1	=	7.8	uM	7800	nM	IC50		IC50		=	5.11	InChI=1S/C24H20F3N3O3/c25-24(26,27)33-18-10-8-16(9-11-18)15-29-22(31)21-19-6-1-2-7-20(19)23(32)30(21)14-12-17-5-3-4-13-28-17/h1-11,13,21H,12,14-15H2,(H,29,31)	FC(F)(F)Oc1ccc(CNC(=O)C2N(CCc3ccccn3)C(=O)c4ccccc24)cc1
5091	1621585	CHEMBL3129034	Inhibition of human ERG by patch clamp electrophysiology	Homo sapiens			=	3.7	uM	3700	nM	IC50		IC50		=	5.43	InChI=1S/C18H15F3N4O2S/c1-2-28(26,27)13-6-3-11(4-7-13)14-10-24-17(22)16(25-14)12-5-8-15(23-9-12)18(19,20)21/h3-10H,2H2,1H3,(H2,22,24)	CCS(=O)(=O)c1ccc(cc1)c2cnc(N)c(n2)c3ccc(nc3)C(F)(F)F
3986	1427797	CHEMBL2168489	Binding affinity to human ERG expressed in CHOK1 cells by IonWorks HT assay	Homo sapiens		CHO-K1						IC50	Not Determined	IC50				InChI=1S/C22H21F3N2O4/c23-22(24,25)31-16-7-5-14(6-8-16)13-26-20(28)19-17-3-1-2-4-18(17)21(29)27(19)15-9-11-30-12-10-15/h1-8,15,19H,9-13H2,(H,26,28)	FC(F)(F)Oc1ccc(CNC(=O)C2N(C3CCOCC3)C(=O)c4ccccc24)cc1
5079	1621597	CHEMBL3129034	Inhibition of human ERG by patch clamp electrophysiology	Homo sapiens								IC50	Not Determined	IC50				InChI=1S/C17H13F3N4OS/c1-26(25)12-5-2-10(3-6-12)13-9-23-16(21)15(24-13)11-4-7-14(22-8-11)17(18,19)20/h2-9H,1H3,(H2,21,23)	C[S+]([O-])c1ccc(cc1)c2cnc(N)c(n2)c3ccc(nc3)C(F)(F)F
